"tree_id","displayed_scientific_name","synonyms","family","displayed_common_name","alternative_common_names","generic_1","generic_2","memo","ethnobotanical_info","pacific_island","photolocations","display","landscape_application","landscape_use","native_range","california_native","ca_invasive","hi_native","invasive_text","height_low","height_high","width_low","width_high","growth_rate_low","growth_rate_high","foliage_type","tree_shape","litter_type","bark_color","bark_texture","branch_strength_low","branch_strength_high","leaf_form","leaf_arrangement","leaflet_shape","foliage_growth_color","foliage_fall_color","fruit_size","fruit_color","fruit_type","fruit_value","fruiting_time","flower_showiness","fragrance","flower_color","flower_time","flower_type","usda_zone","sunset_zone","salinity_tolerance","planting_area","soil_texture","saltspray_tolerance","exposure_low","exposure_high","soil_ph_low","soil_ph_high","pest_resistant","pest_susceptibility","disease_resistant","disease_susceptibility","root_damage_potential","health_hazard","attracts_wildlife","biogenic_emissions","deer_palatable","water_use","schoolyard","appraisal","app_lcant","app_grrating"
443,"Crataegus aestivalis",,"Rosaceae","MAY HAWTHORN","APPLE HAWTHORN,EASTERN MAY HAWTHORN","HAWTHORN",,"Branches droop but resist breakage.","",0,"",0,"Specimen,Buffer Strip,Screen",,"Southeastern United States",0,0,0,"",20,25,35,40,12,24,"1","Vase",,"Gray","Rough,Smooth",,,"Simple","Alternate","Elliptic","Green",0,"Medium","Red","Pome","Edible,Wildlife use it","Summer","Showy",0,"White","Spring","Has male and female reproductive parts in each flower (perfect)","6,7,8","1,2,3,4,5,6,7,8,9,10",,"4 to 7","Loam,Sand","",,,2,2,,,"Verticillium",,"",,,"",,"M",0,,,
444,"Crataegus 'Autumn Glory'","Crataegus 'Crimson Glory'","Rosaceae","AUTUMN GLORY HAWTHORN",,"HAWTHORN",,"Very susceptible to fireblight.","",0,"Finch Arboretum - Spokane, WA and Hoyt Arboretum - Portland, OR",1,"Screen","Pleached","Horticultural Origin",0,0,0,"",10,15,10,15,36,36,"1","Rounded","Wet Fruit","Dark Brown or Light Green","Smooth","5","5","Simple","Alternate","Oval","Dark Green",1,"Large","Red","Pome","Wildlife use it","Fall,Winter","",0,"White","Spring","Has male and female reproductive parts in each flower (perfect)","6,7,8,9","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"2 to 4","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","None Known","Bees,Birds","",,"M",0,,,
445,"Crataegus &times mordenensis 'Toba'","Crataegus 'Toba'","Rosaceae","TOBA HAWTHORN",,"HAWTHORN",,"Very hardy. Sets few large fruits.","",0,"",0,"Screen","Pleached","Horticultural Origin",0,0,0,"",20,20,20,20,24,24,"1","Rounded","Wet Fruit","Dark Brown or Light Green","Smooth","5","5","Simple","Alternate","Oval","Green",1,"Large","Red","Pome","Wildlife use it","Fall,Winter","Showy",0,"Pink,White","Spring","Has male and female reproductive parts in each flower (perfect)","4,5,6,7,8","1,2,3,4,5,6,7,8,9,10",,"2 to 4","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,,,
446,"Crataegus ambigua",,"Rosaceae","RUSSIAN HAWTHORN",,"HAWTHORN",,"Attractive branching habit, showy fruit.","",0,"Red Butte Garden - Salt Lake City, UT",1,"Screen","Pleached","Southeastern Russia, Turkey, and Iran",0,0,0,"",15,25,15,25,24,24,"1","Vase","Wet Fruit","Dark Brown or Light Green","Smooth","5","5","Simple","Alternate","Diamond-shaped","Green",1,"Small","Red","Pome","Wildlife use it","Fall,Winter","Showy",0,"White","Spring","Has male and female reproductive parts in each flower (perfect)","4,5,6","1,2,3,4,5,6,7,8,9,10,14",,"4 to 7","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,,,
447,"Crataegus crus-galli",,"Rosaceae","COCKSPUR HAWTHORN",,"COCKSPUR HAWTHORN",,"Large thorns 1 1/2 to 3 inches long. Attractive fall color. The specific epithet in Latin means leg of a cock referring to the thorns resemblance of a cocks spurs. A thornless variety called inermis is sometimes prefered.","",0,"Morton Arboretum - Lisle, IL, Red Butte Garden - Salt Lake City, UT, UC Berkeley Botanic Garden - Berkeley, CA and Arnold Arboretum - Boston, MA",1,"Screen","Pleached","Eastern United States and Canada",0,0,0,"",20,30,20,35,24,24,"1","Rounded,Vase","Wet Fruit","Dark Gray or Red Brown","Scaly,Smooth","5","5","Simple","Alternate","Obovate","Dark Green",1,"Large","Orange or Red","Pome","Wildlife use it","Fall,Winter","",0,"White","Spring",,"4,5,6,7","1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,,,
448,"Crataegus laevigata 'Crimson Cloud'","Crataegus oxyacantha 'Crimson Cloud'","Rosaceae","ENGLISH HAWTHORN 'CRIMSON CLOUD'",,"HAWTHORN",,"Tree has thorny branches. Has red flowers and fruit.","",0,"Arnold Arboretum - Boston, MA.",1,"Screen","Pleached","Western and Central Europe",0,0,0,"",18,25,15,20,24,24,"1","Rounded","Wet Fruit","Dark Brown or Light Green","Scaly","3","3","Simple","Alternate","Oval","Green",1,"Medium","Red","Pome",,"Fall,Summer","Showy",0,"Red","Spring","Has male and female reproductive parts in each flower (perfect)","5,6,7,8","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Clay","Moderate",2,3,1,7,,"Aphids,Beetle Borers","Verticillium","Fire Blight,Powdery Mildew,Root Rot,Rust","Low","None Known","Bees,Birds","",,"M",0,,,
449,"Crataegus laevigata 'Double Pink'","Crataegus oxyacantha 'Double Pink'","Rosaceae","DOUBLE PINK ENGLISH HAWTHORN",,"HAWTHORN",,"Tree has thorny branches. Few fruits are produced.","",0,"",0,"Screen","Pleached","Western and Central Europe",0,0,0,"",18,25,15,20,24,24,"1","Rounded","Wet Fruit","Dark Brown","Scaly","3","3","Simple","Alternate","Oval","Green",1,"Medium","Red","Pome",,"Fall,Summer","Showy",0,"Pink","Spring","Has male and female reproductive parts in each flower (perfect)","5,6,7,8","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",2,3,1,7,,"Aphids,Beetle Borers","Verticillium","Fire Blight,Powdery Mildew,Root Rot,Rust","Low","None Known","Bees,Birds","",,"M",0,,,
450,"Crataegus laevigata 'Double White'","Crataegus oxyacantha 'Double White'","Rosaceae","DOUBLE WHITE ENGLISH HAWTHORN",,"HAWTHORN",,"Tree has thorny branches. Few fruits are produced.","",0,"",0,"Screen","Pleached","Western and Central Europe",0,0,0,"",18,25,15,20,24,24,"1","Rounded","Wet Fruit","Dark Brown","Scaly","3","3","Simple","Alternate","Oval","Green",1,"Medium","Red","Pome",,"Fall,Summer","Showy",0,"White","Spring","Has male and female reproductive parts in each flower (perfect)","5,6,7,8","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",2,3,1,7,,"Aphids,Beetle Borers","Verticillium","Fire Blight,Powdery Mildew,Root Rot,Rust","Low","None Known","Bees,Birds","",,"M",0,,,
451,"Crataegus laevigata 'Pauls Scarlet'","Crataegus oxyacantha 'Pauls Scarlet'","Rosaceae","PAUL'S SCARLET ENGLISH HAWTHORN",,"HAWTHORN",,"Variety Paul Scarlet has double rose flowers.","",0,"Finch Arboretum - Spokane, WA",1,"Screen","Pleached","Western and Central Europe",0,0,0,"",18,25,15,20,24,24,"1","Rounded","Wet Fruit","Dark Brown","Scaly,Smooth","5","5","Simple","Alternate","Oval","Green",1,"Medium","Red","Pome","Wildlife use it","Fall,Winter","Showy",0,"Red,Rose","Spring","Has male and female reproductive parts in each flower (perfect)","5,6,7,8","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,,,
452,"Crataegus &times lavallei 'Carrierei'","Crataegus lavallei,Crataegus carrierei","Rosaceae","CARRIERE HAWTHORN",,"HAWTHORN",,"Less dense than other Hawthornes.","",0,"Portland, OR, San Francisco, CA, Hoyt Arboretum - Portland, OR and Finch Arboretum - Spokane, WA",1,"Screen","Pleached","France",0,0,0,"",22,25,15,20,24,24,"1","Rounded","Wet Fruit","Dark Brown","Smooth","5","5","Simple","Alternate","Obovate","Dark Green",1,"Large","Orange or Red","Pome","Wildlife use it","Fall,Winter,Summer","Showy",0,"White","Spring",,"5,6,7","3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,"Yes","24"" box","1"
453,"Crataegus phaenopyrum","Crataegus cordata","Rosaceae","WASHINGTON HAWTHORN","WASHINGTON THORN","HAWTHORN",,"A small flowering accent tree with a more graceful branching habit than other hawthorns. The flowers often attract bees, but the berries in fall provide a showy accent. It is dependable in ordinary soils, with moderate moisture, in full sun. It may suffer from occasional aphids, but is the least susceptible to fireblight of the hawthorns. It is quite hardy. It may require regularly scheduled light top-trimming (but not necessarily shearing) of vigorous top shoots to maintain its height below 25.","",0,"The National Arboretum - Washington, DC, Arnold Arboretum - Boston, MA and Red Butte Garden - Salt Lake City, UT",1,"Screen","Hedged,Pleached","Southeastern United States",0,0,0,"",20,40,20,25,24,24,"1","Rounded,Vase","Wet Fruit","Dark Brown or Dark Gray","Scaly,Smooth","5","5","Simple","Alternate","Triangular","Green",1,"Small","Red","Pome","Edible,Wildlife use it","Fall,Winter","Showy",0,"White","Spring,Summer","Has male and female reproductive parts in each flower (perfect)","4,5,6,7,8","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Fair Resistance to Fire Blight,Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,"Yes","24"" box","1"
454,"Crataegus phaenopyrum 'Fastigiata'",,"Rosaceae","FASTIGIATA WASHINGTON HAWTHORN",,"HAWTHORN",,"Branches dont droop and resist breakage.","",0,"",0,"Specimen,Screen,Buffer Strip,Street Tree","Bonsai","Southeastern United States",0,0,0,"",20,25,10,15,12,36,"1","Columnar",,"Dark Brown or Dark Gray","Scaly,Smooth",,,"Simple","Alternate","Elliptic","Green",1,"Small","Orange or Red","Pome","Edible,Wildlife use it","Fall,Winter","Showy",0,"White","Spring","Has male and female reproductive parts in each flower (perfect)","4,5,6,7,8","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","",3,3,2,6,,"Aphids,Borer,Leaf Miner,Caterpillars","Verticillium","Fire Blight,Leaf Blight,Scab,Rust","Low",,"Birds","",,"M",0,,,
455,"Crataegus pinnatifida",,"Rosaceae","CHINESE HAWTHORN",,"HAWTHORN",,"Spines wanting or short.","",0,"arrondissement Le Marais, Paris, France",1,"Screen","Pleached","Northeastern Asia",0,0,0,"",20,25,10,12,24,24,"1","Rounded","Wet Fruit","Dark Brown","Smooth","5","5","Simple","Alternate","Oval","Green",1,"Medium","Red","Pome","Wildlife use it","Fall,Winter","Showy",0,"White","Spring",,,"2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","Moderate",3,3,1,7,,"Aphids,Beetle Borers,Scales,Spider Mites","Verticillium","Fire Blight,Armillaria,Powdery Mildew,Root Rot","Low","Allergy","Bees,Birds","",,"M",0,,,
456,"Crataegus viridis 'Winter King'",,"Rosaceae","WINTER KING GREEN HAWTHORN","WINTER KING SOUTHERN HAWTHORN","HAWTHORN",,"Branches droop but resist breakage.","",0,"Longwood Gardens - Kennette Square, PA, Morton Arboretum - Lisle, IL and The National Arboretum - Washington, DC",1,"Specimen,Container,Screen","Hedged","Eastern United States",0,0,0,"",20,40,20,30,12,36,"1","Rounded,Vase",,"",,,,"Simple","Alternate","Elliptic","Green",0,"Very Small","Orange or Red","Pome","Wildlife use it","Fall","Showy",0,"White","Spring","Has male and female reproductive parts in each flower (perfect)","5,6,7","2,3,4,5,6,7,8,9,10,11,12,14,15,16,17",,"4 to 7","Loam,Sand,Clay","",3,3,2,6,,,"Verticillium","Rust","Low",,"Birds","",,"M",0,,,
457,"Crescentia cujete",,"Bignoniaceae","CALABASH TREE","GOURD,PACKY","CALABASH TREE",,"The calabash tree, which bears bat-pollinated greenish flowers with purple-brown markings right out of the corky bark (cauliflory), is salt tolerant and drought resistant. Dried fruit, which resemble gourds, are hollowed and used to make musical instruments and small vessels for serving or drinking. This tree was an early horticultural introduction to Hawai‘i in the early 1800s, and the fruits were filled with Canna seeds and used as a hula rattle. &lt;em&gt;Crescentia cujete&lt;/em&gt;&lt;span style=&quot;color: rgb(33,37,41);background-color: rgb(245,245,245);font-size: 16px;font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji;&quot;&gt; has a HPWRA (Hawai‘i Pacific Weed Risk Assessment) score of -8 (Low Risk).&lt;/span&gt;"," Considered one of the most ethnobotanically important plants in the Caribbean and Americas, where the seed gourds are used in the creation of musical rattles, containers for cooking and eating, water containers, personal adornment, carved decorative ornaments, mate gourds, and ritual practice. The pulp is edible and used to make sweets, pickles, and regional dishes. The tree is widely used in traditional medicine to treat coughs, colds, asthma, and other pulmonary conditions. Almost all parts of the tree are useful and highly valued. (Balogun & Sabiu, 2021; Morton, 1968)",1,"Lyon Arboretum - Honolulu, HI, LA County Arboretum - Arcadia, CA, San Antonio Botanic Garden - San Antonio, TX, Foster Botanical Garden - Honolulu, HI and Tropical Gardens of Maui - HI",1,"Specimen,Buffer Strip,Street Tree",,"Central and South America",0,0,0,"",20,30,25,30,12,36,"3","Rounded","Wet Fruit","Gray","Rough",,,"Simple","Alternate","Oval","Green",0,"Very Large","Green","Capsule",,"Fall,Winter,Spring,Summer","Showy",0,"Green,Yellow","Fall,Winter,Spring,Summer",,"10,11","H1,H2",,"4 to 7","Loam,Sand,Clay","",3,3,2,6,,,,,"Low",,,"",,"M",0,"Yes","24"" box","2"
458,"Crinodendron patagua",,"Elaeocarpaceae","LILY OF THE VALLEY TREE","WHITE LANTERN TREE,PATAGUA","LILY OF THE VALLEY TREE",,"Crinodendron hookeranum is a similar size tree with narrow leaves. Rare.","",0,"UC Davis Arboretum - Davis, CA, Santa Cruz, CA and Cal Poly State University - San Luis Obispo, CA",1,"Screen",,"Chile",0,0,0,"",15,25,6,12,24,24,"3","Rounded","Dry Fruit","Brown","Rough","3","3","Simple","Alternate","Oval","Dark Green",0,"","Red or White","Capsule",,"Fall","Showy",0,"White","Summer",,"9,10","14,15,16,17,18,19,20,21,22,23,24",,"4 to 7","Loam,Sand","Moderate",2,3,1,5,,,,,"Moderate","None Known",,"",,"M",0,"Yes","24"" box","2"
459,"Cryptocarya alba",,"Lauraceae","CRYPTOCARYA",,"CRYPTOCARYA",,"Attractive coppery red new growth.","",0,"Balboa Park - San Diego, CA and Strybing Arboretum - San Francisco, CA",1,"Screen",,"Chile",0,0,0,"",20,30,20,30,12,24,"3","Rounded",,"Dark Brown","Rough","3","3","Simple","Alternate","Oval","Dark Green",0,"Small","Black","Drupe",,"Spring","",1,"Cream","Winter",,"8,9,10,11","14,15,16,17,20,21,22,23,24",,"4 to 7","Loam,Sand","",2,3,3,5,,,,,"Moderate","None Known",,"",,"M",0,"Yes","24"" box","2"
460,"Cryptomeria japonica",,"Cupressaceae","JAPANESE CRYPTOMERIA","JAPANESE CEDAR","CRYPTOMERIA",,"Resistant to Oak Root Fungus. Smog tolerant.","",0,"Morton Arboretum - Lisle, IL, UC Davis Arboretum - Davis, CA, San Luis Obispo, CA, National Arboretum - Washington, DC and Los Angeles County Arboretum - Arcadia, CA and Arnold Arboretum - Boston, MA",1,,,"Japan",0,0,0,"",50,70,,,36,36,"3","Conical",,"Red Brown","Exfoliating","3","3","Simple","Alternate","Needle","Blue Green,Medium Green,Bronze,Purple",0,"Medium","Brown","Cone",,"Fall","",0,,,"Has either male or female reproductive parts (dioecious)","6,7,8,9","4,5,6,7,8,9,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Clay","Moderate",2,3,1,5,,,"Armillaria",,"Moderate","None Known",,"",,"H",0,"Yes","24"" box","3"
461,"Cryptomeria japonica 'Elegans'",,"Cupressaceae","PLUME CRYPTOMERIA","PLUME JAPANESE CEDAR","CRYPTOMERIA",,"Resistant to oak root fungus. Smog tolerant. Copper-red foliage in winter.","",0,"Strybing Arboretum - San Francisco, CA and Blake Gardens - Kensington, CA",1,"Screen","Bonsai","Japan",0,0,0,"",20,60,20,20,12,36,"3","Conical","Dry Fruit","Red Brown","Exfoliating","5","5","Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Medium","Brown","Cone",,"Summer","",0,,"Spring","Has separate male and female reproductive parts on the same tree (monoecious)","6,7,8,9","4,5,6,7,8,9,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand,Clay","Moderate",2,3,1,5,,,"Armillaria",,"Low","None Known",,"",,"M",0,,,
462,"Cryptomeria japonica 'Yoshino'",,"Cupressaceae","YOSHINO JAPANESE CEDAR",,"JAPANESE CEDAR",,"Branches droop but resist breakage.","",0,"Missouri Botanical Garden - St. Louis, MO, Morris Arboretum - Philadelphia, PA and National Arboretum - Washington, DC",1,"Specimen,Buffer Strip,Screen","Bonsai","Japan",0,0,0,"",30,40,20,20,12,24,"3","Conical",,"Red Brown","Exfoliating","3","3","Simple","Alternate","Scale-like","Bluish Green,Silver,Gray Green",1,"Medium","Brown","Cone",,"Fall","",0,,,"Has either male or female reproductive parts (dioecious)","6,7,8,9","4,5,6,7,8,9,14,15,16,17,18,19,20,21,22,23,24",,"4 to 7","Loam,Sand,Clay","",2,3,2,2,,"Mites",,"Leaf Blight,Leaf Spot","Low","None Known",,"",,"M",0,,,
463,"Cunninghamia lanceolata",,"Cupressaceae","CHINA FIR",,"CHINA FIR",,"Leaves turn red-bronze in cold winters. Needles are sharply pointed; grow on whorled branches. Tree needs wind protection.","",0,"Redding, CA, Sacramento, CA and National Arboretum - Washington, DC",1,"Screen",,"China",0,0,0,"",50,80,15,30,24,24,"3","Conical,Weeping",,"Red Brown","Scaly,Striated","3","3","Simple","Alternate","Needle","Green",0,"Large","Brown","Cone",,"Fall,Summer","",0,,"Winter,Spring",,"7,8,9","4,5,6,14,15,16,17,18,19,20,21",,">7","Loam,Clay","Moderate",3,3,1,4,,,,,"Low","None Known",,"",,"M",0,"Yes","24"" box","2"
464,"Cunninghamia lanceolata 'Glauca'",,"Cupressaceae","BLUE CHINA FIR",,"CHINA FIR",,"Has gray-blue foliage which can turn red-bronze in the cold of winter. Shorter than the species.","",0,"Longwood Gardens - Kennette Square, PA and National Arboretum - Washington, DC",1,"Screen",,"China",0,0,0,"",35,35,20,20,24,24,"3","Conical","Dry Fruit","Red Brown","Exfoliating,Furrowed",,,"Simple","Alternate","Needle","Bluish Green,Silver,Gray Green",0,"Medium","Brown","Cone",,,"",0,,,"Has either male or female reproductive parts (dioecious)","7,8,9","4,5,6,14,15,16,17,18,19,20,21",,"4 to 7","Loam,Clay","Moderate",2,3,1,5,,"Spider Mites",,,"Moderate","None Known",,"",,"M",0,,,
465,"Cunonia capensis",,"Cunoniaceae","AFRICAN RED ALDER","BUTTERSPOON TREE,BUTTERKNIFE TREE,ROOIELS","AFRICAN RED ALDER",,"New foliage is bronzey red.","",0,"Culver City, CA, Huntington Botanical Gardens - San Marino, CA, Strybing Arboretum - San Francisco, CA and Quail Botanical Gardens - Encinitas, CA",1,"Screen",,"Southern Africa",0,0,0,"",30,60,10,20,24,24,"3","Rounded",,"Light Green or Light Gray","Rough",,,"Pinnately Compound","Opposite","Oval","Dark Green",0,"Small","Brown","Capsule","Wildlife use it","Fall","Showy",1,"Cream,White","Summer","Has male and female reproductive parts in each flower (perfect)","10,11","9,12,13,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand","Moderate",2,3,1,7,,,,,"Low","None Known",,"",,"M",0,,,
466,"Cupaniopsis anacardioides",,"Sapindaceae","CARROT WOOD","TUCKEROO,BEACH TAMARIND,GREEN-LEAVED TAMARIND","CARROT WOOD",,"Tolerates hot and dry winds. Some mature trees produce marble size fruits which drop and can be a nuisance. Some never fruit. It has a gray outer bark and an orange inner wood layer just underneath for which the tree is named.gt;This species has a HPWRA rating is a 10 â€“ high risk.","",1,"San Luis Obispo, CA, Los Angeles County Arboretum - Arcadia, CA, Manhattan Beach, CA and Cal Poly State University Campus - San Luis Obispo, CA",1,"Screen",,"Australia",0,0,0,"",40,40,30,30,12,24,"0","Rounded","Dry Fruit","Light Gray","Rough","2","2","Pinnately Compound","Alternate","Oblong","Dark Green",0,"Small","Orange or Yellow","Capsule",,"Summer","",0,"White","Winter",,"10,11","16,17,18,19,20,21,22,23,24","Coastal Good","4 to 7","Loam,Sand,Clay","High",2,3,3,7,,"Invasive Shot Hole Borer","Armillaria","Root Rot,Verticillium","Moderate","None Known",,"High",,"M",0,"Yes","24"" box","3"
467,"&times Hesperotropsis leylandii","Cupressocyparis &times leylandii,Callitropsis &times leylandii,&times Cupressocyparis leylandii","Cupressaceae","LEYLAND CYPRESS",,"CYPRESS",,"The Leyland cypress is a ubiquitous and unremarkable, fast-growing conifer, often used as a dense screen or hedge. This sterile hybrid results from a cross between the Monterey cypress (Hesperocyparis macrocarpa) and the yellow cedar (Callitropsis nootkatensis), only in cultivation, as their native ranges are over four hundred miles apart. Taxonomists still debate the names of both closely related parents and their hybrid offspring, which have all been placed in different genera by various experts. For now, we’ll call it the Leyland cypress, so named for a nineteenth-century horticulturalist who first developed this hybrid in England.
","",0,"Cal Poly State University - San Luis Obispo, CA, Hoyt Arboretum - Portland, OR, Los Angeles County Arboretum - Arcadia, CA and The National Arboretum - Washington, DC",1,"Screen","Hedged","Horticultural Hybrid",0,0,0,"",35,50,15,25,36,36,"0","Columnar","Dry Fruit","Dark Gray or Red Brown","Exfoliating,Scaly,Striated","1","3","Simple","Opposite","Scale-like","Bluish Green,Silver,Gray Green",0,"Medium","Brown","Cone",,"Fall","",1,,"Summer",,"6,7,8,9","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","Coastal Good",">7","Loam,Sand,Clay","High",2,3,1,5,,"Caterpillars",,"Needle Blight,Root Rot","Moderate","None Known",,"Low",,"L",0,"Yes","24"" box","3"
468,"&times Hesperotropsis leylandii 'Haggerston Gray'","Cupressocyparis &times leylandii 'Haggerston Gray',Callitropsis &times leylandii 'Haggerston Gray',&times Cupressocyparis leylandii 'Haggerston Gray'","Cupressaceae","HAGGERSTON GRAY LEYLAND CYPRESS",,"CYPRESS",,"Branches dont droop and resist breakage.","",0,"The National Arboretum - Washington, DC",1,"Specimen,Buffer Strip,Screen","Hedged","Horticultural Hybrid",0,0,0,"",40,50,15,25,24,36,"0","Columnar,Conical,Rounded",,"Dark Gray or Red Brown","Exfoliating,Scaly,Striated",,,"Simple","Opposite","Scale-like","Green",0,"Small","Brown","Cone",,"Fall,Summer","",0,,"Summer","Has either male or female reproductive parts (dioecious)","6,7,8,9","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand,Clay","Moderate",2,3,2,6,,"Bagworm",,"Canker","Low",,,"",,"L",0,,,
469,"&times Hesperotropsis leylandii 'Naylors Blue'","Cupressocyparis &times leylandii 'Naylors Blue',Callitropsis &times leylandii 'Naylors Blue',&times Cupressocyparis leylandii 'Naylors Blue'","Cupressaceae","NAYLOR'S BLUE LEYLAND CYPRESS","NAYLOR'S BLUE LEYLAND BYPRESS","CYPRESS",,"Susceptible to coryneum canker in warm summer climates.","",0,"The National Arboretum - Washington, DC",1,"Screen","Hedged","Horticultural Hybrid",0,0,0,"",40,50,15,25,36,36,"3","Conical",,"Dark Gray","Exfoliating,Striated","3","3","Simple","Opposite","Scale-like","Bluish Green,Silver,Gray Green",0,"Small","Brown","Cone",,"Fall,Winter","",0,,"Summer","Has separate male and female reproductive parts on the same tree (monoecious)","6,7,8,9","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24","Coastal Good",">7","Loam,Sand,Clay","Moderate",2,3,1,5,,,,,"Moderate","None Known",,"",,"L",0,,,
470,"&times Hesperotropsis leylandii 'Silver Dust'","Cupressocyparis &times leylandii 'Silver Dust',Callitropsis &times leylandii 'Silver Dust',&times Cupressocyparis leylandii 'Silver Dust'","Cupressaceae","SILVER DUST LEYLAND GRAY",,"CYPRESS",,"Branches dont droop and resist breakage.","",0,"Los Angeles County Arboretum - Arcadia, CA and the National Arboretum - Washington, DC",1,"Specimen,Buffer Strip,Screen","Hedged","Horticultural Hybrid",0,0,0,"",40,50,15,25,24,36,"3","Rounded",,"Dark Gray or Red Brown","Exfoliating,Scaly,Striated",,,"Simple","Opposite","Scale-like","Variegated,Yellow,Yellow Green",0,"Inconspicuous","Brown","Cone",,"Fall,Summer","",0,,"Summer","Has separate male and female reproductive parts on the same tree (monoecious)","6,7,8,9,10","3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,">7","Loam,Sand,Clay","Moderate",2,3,2,6,,"Bagworm",,"Canker","Low",,,"",,"L",0,,,
471,"Hesperocyparis arizonica","Cupressus arizonica var. arizonica,Cupressus arizonica","Cupressaceae","ARIZONA CYPRESS",,"CYPRESS",,"Susceptible to Juniper Blight. Branches dont droop and resist breakage. Cultivar Blue Pyramid is a dense selection with blue-gray leaves that is shorter than the species growing 20 - 25 feet.","",0,"Longwood Gardens - Kennette Square, PA, Red Butte Garden - Salt Lake City, UT, Quail Botanical Gardens - Encinitas, CA, UC Berkeley Botanic Garden - Berkeley, CA and Tilden Parks Botanic Garden - Berkeley, CA",1,"Specimen,Screen",,"Arizona",0,0,0,"",30,40,20,20,12,36,"3","Columnar,Conical",,"Reddish Brown","Rough",,,"Simple","Whorled","Scale-like","Bluish Green,Silver,Gray Green",0,"Medium","Brown","Cone",,"Spring","",0,,"Spring","Has separate male and female reproductive parts on the same tree (monoecious)","7,8,9","7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24",,"4 to 7","Loam,Sand","",3,3,2,2,,,,"Leaf Blight","Low",,,"",,"L",1,"Yes","24"" box","2"
